title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Great opportunities but not without challenges with staff culture.’,Technology,"If you are willing to work for it, then the opportunity is there.","People are the challenge, ANZ's rich history brings with is the old thinking and the new.  Self entitlement of long serving staff bring down morale and block innovation.",Recommends working here: Yes,Rates salary as: Average,4 years ago,Australia,4.0,4.0,3.0,3.0,2.0,5.0,4.0,ANZ
‘Stay away’,Project Manager,"Salary, location, banking benefits","Toxic management
Shocking culture",Recommends working here: No,Rates salary as: Average,1 year ago,Melbourn,1.0,3.0,1.0,1.0,3.0,5.0,1.0,ANZ
‘20 years with Anz’,Assistant Branch Manager,Training is good and with the right Manager career progression is pisitive,Sales targets are a challenge  need to be aware of what is expected,Recommends working here: Yes,Rates salary as: High,2 years ago,"Western Australia, Australia",4.0,4.0,4.0,2.0,4.0,4.0,4.0,ANZ
"‘Disappointing experience overall, I was glad to leave.’",Project Manager,There are some really passionate people working there and they do have diversity targets for technology departments,The Culture is very command and control with little room for innovation. The solution is to follow processes that are clearly broken.,Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",1.0,1.0,1.0,1.0,3.0,3.0,1.0,ANZ
"‘Fantastic opportunity to learn life skills, meet people from all demographics, but paid poorly and highly stressful and demanding environment ’",Senior Personal Banker,"Career development, opportunity to move through the different roles","Low pay, high responsibility, expected to work over rostered hours without being paid overtime. Sales target as the measurement of your job and bonuses. Too bigger pay gap from lower retail staff to management with too much responsibility ",Recommends working here: No,Rates salary as: Low,1 year ago,"Darwin NT, Australia",4.0,1.0,1.0,2.0,1.0,2.0,2.0,ANZ
‘It is not the best place to work nor is it the worse. ’,Project Officer,Flexibility and life balances can be achieved of working in a great team,Too much politic to get around. Go getters will succeed. Not necessarily the best workers. ,Recommends working here: No,Rates salary as: High,1 year ago,Australia,3.0,4.0,3.0,3.0,3.0,2.0,3.0,ANZ
‘I struggled a lot because anz refuses to understand I have child care duties ’,Merchant Consultant,Absolutely nothing you have to fight to get your rights ,Managers behaviour towards employees ,Recommends working here: No,Rates salary as: Low,6 months ago,"Docklands VIC, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0,ANZ
‘An excellent bank to work for.’,Service Consultant,There is so much support wether you want to advance your career or just enjoy the job you have.,Some clients can be difficult to deal with from the odd occasion but if you stick together as a team Issues are normally solved,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",5.0,5.0,4.0,4.0,4.0,5.0,5.0,ANZ
‘Glad I did it.’,Mortgage Specialist,"Good people to work with, friendly atmosphere and relaxing spaces ","The customers, the training and some aspects of management ",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",5.0,4.0,4.0,4.0,3.0,4.0,4.0,ANZ
‘Long.’,Manager,Good people and nice office space. Great facilities.,"Senior Management do not care about the people, only the results. Resourcing is also a big issue leading to very poor work life balance.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,2.0,4.0,3.0,3.0,5.0,3.0,ANZ
‘ANZ have a huge potential for improve in all departments.’,Banking Consultant,The colleagues have been amazing ,Technology is 10 yrs behind other companies,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Perth WA, Australia",3.0,3.0,3.0,3.0,2.0,5.0,3.0,ANZ
"‘Wonderful, challenging and fabulous employer.’",Assistant Manager,Great employers .. enjoyed the work environment and benefits.,Incredibly large workload .. lots of overtime without pay to ensure a high level of customer satisfaction.. my choice though to ensure A+ performance and outcomes.,Recommends working here: Yes,Rates salary as: High,6 months ago,"Toowoomba QLD, Australia",5.0,4.0,5.0,5.0,5.0,5.0,5.0,ANZ
‘Ongoing!!’,Data Entry Operator,My Manager and team leaders are great. It's a great atmosphere and the work is easy and non stressful,There's not enough work and the pay is not that great.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",2.0,5.0,5.0,3.0,1.0,2.0,5.0,ANZ
‘Exhausting’,Bank Teller,Nice people to work with. Good work hours.,Too much stress and expectations. Average pay for degree of responsibilities.,Recommends working here: No,Rates salary as: Average,3 years ago,,3.0,3.0,2.0,2.0,1.0,3.0,2.0,ANZ
‘Great diverse background and culture promotes enthusiasm amongst the team’,Client Manager,"Great training and HR support
Good culture and diversity in employees",Too many silos in management,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,3.0,3.0,3.0,4.0,4.0,ANZ
‘My experience was generally positive but like other major financial services firm everything is now about cost cutting and hiring unqualified people to meet diversity targets’,Senior Client Side Project Manager,"Good colleagues, decent benefits and good work/life balance",Management incompetence ,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Sydney NSW, Australia",3.0,4.0,3.0,2.0,4.0,3.0,3.0,ANZ
"‘Excellent, great company and sound sustainable business’",Retail Banking Senior Manager,"Great environment, good people and direction the business was moving to in a digitally empowering world",Ability to add services / products that meet market needs,Recommends working here: Yes,Rates salary as: High,2 years ago,"NSW, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,ANZ
‘Poor management and career development ’,Commercial Manager,"Salary and location, nothing more","Poor management, some really unmotivated staff",Recommends working here: No,Rates salary as: Average,6 months ago,"Tamworth NSW, Australia",1.0,3.0,3.0,1.0,1.0,1.0,1.0,ANZ
‘Very stressful. this job made me sick and being fired was probably the best thing tht happened to me this year.’,Customer Service Consultant,I made some friends there who i genuinely appreciate,"Huge lack of support from management, very little opportunity for upward mobility or even sideways mobility. absolutely no breathing time between phone calls, and when you're working a 9-hour shift with a half hour break and expectations of 95% adherence it eventually just deteriorates into one terribly stressful experience.",Recommends working here: No,Rates salary as: High,3 years ago,Melbourne,1.0,2.0,1.0,1.0,1.0,4.0,1.0,ANZ
