title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Great work life balance and flexible work arrangements but don't expect for anything to happen fast or even what you set out to do.’,Process Manager,Work life balance and flexible work arrangements,Slow processes to get anything done.  No long term IT strategy.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,5.0,4.0,3.0,4.0,4.0,5.0,Westpac Banking Corporation
‘Life changing’,IT Call Centre Agent,Great Training and Friendly work environment,Dealing with frustrated customers,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,5.0,5.0,5.0,5.0,4.0,Westpac Banking Corporation
‘As a single parent the flexibility is great; but the politics and draw backs of being a large corporate can be very frustrating’,Manager,Very flexible and provides lots of equal opportunities,It is a large corporate and has typical large corporate challanges,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,3.0,3.0,5.0,5.0,4.0,Westpac Banking Corporation
‘Best experience ever’,Teller,Flexibility,Busy environment,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
‘Brilliant training and a fantastic place to begin your career’,WIB-CIB Associate/Senior Associate,Associate Director and Director level managers are very good.,"Low salary, too much pressure from senior management. Sometimes empty promises.",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",4.0,5.0,5.0,5.0,5.0,4.0,4.0,Westpac Banking Corporation
‘Persevered in a job I should have left but finally obtained a redundancy’,Supervisor,Cheaper loans is about the only thing,Keeping up with sale targets set by management,Recommends working here: No,Rates salary as: Low,2 years ago,"NSW, Australia",2.0,3.0,2.0,2.0,4.0,2.0,2.0,Westpac Banking Corporation
‘There are plenty of career opportunities working for a nationally respected company.  ’,Relationship Manager,Career opportunities are there if you are ambitious.  ,Achieving sales targets in a changing work and economic environment.  ,Recommends working here: Yes,Rates salary as: High,1 year ago,"Adelaide SA, Australia",4.0,3.0,3.0,4.0,4.0,4.0,4.0,Westpac Banking Corporation
‘Nurturing’,Advanced Financial Planner,Great work life balance,"Bureaucracy, low wage",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Epping, New South Wales, Australia",5.0,5.0,4.0,4.0,4.0,5.0,4.0,Westpac Banking Corporation
‘My time with Westpac was always a challenge but towards the end with staff changes and changes in management it became a very toxic work environment ’,Personal Banker,Great customers and good products,Management. Many issues with management and not just at a branch level ,Recommends working here: No,Rates salary as: Average,6 months ago,"Bundaberg QLD, Australia",2.0,1.0,1.0,1.0,3.0,2.0,1.0,Westpac Banking Corporation
‘To many mixed messages’,Bank Manager,Competative salary and modern working environment,"Being allowed to make the decisions that your role should enable you to do, empowerment !!
CEO of my own business ??",Recommends working here: No,Rates salary as: Average,4 years ago,"WA, Australia",4.0,2.0,3.0,2.0,3.0,4.0,3.0,Westpac Banking Corporation
