title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Very low career opportunities’,Grocery Team Member / Administration,Developed my confidence,Overload on work and the expectations are too high,Recommends working here: No,Rates salary as: Low,4 years ago,"Keysborough, Victoria, Australia",2.0,2.0,3.0,2.0,2.0,1.0,2.0,Coles Supermarkets
‘Working in a friendly enviroment and recognised as doing a great job’,Inventory Controller,Great team members and team players,Work load increasing less time,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",3.0,4.0,3.0,3.0,3.0,3.0,4.0,Coles Supermarkets
‘Like my energy has been drained and for nothing.’,Grocery Store Person,The customers are the only highlight to my day. The physical side of the job keeps me active.,Leaving work on time,Recommends working here: No,Rates salary as: Average,4 years ago,"Mentone, Victoria, Australia",3.0,1.0,1.0,1.0,2.0,3.0,2.0,Coles Supermarkets
‘Good company. Growth business. Not loyal to its team. Talk the talk but don't walk the walk’,Senior Manager,Progressive industry leading management,Loyalty long gone. One way street these days. English managers still think they are in england,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",4.0,3.0,3.0,3.0,3.0,4.0,4.0,Coles Supermarkets
‘Very unsupportive culture.’,N/A,Good pay. Stable company.,"No work-lifestyle balance for salaried team. Very poor, old-fashioned culture that still believes it is ok to treat people like cattle.",Recommends working here: No,Rates salary as: Average,2 years ago,WA,4.0,1.0,2.0,2.0,4.0,4.0,1.0,Coles Supermarkets
‘I like my work but nothing has change regarding pay since i started over 2 yars ago’,Implementaion,The people i work with,The line managers and they dont care about the contractors even if youve been there for years,Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",2.0,3.0,3.0,2.0,2.0,4.0,3.0,Coles Supermarkets
‘Trying times but good experience’,Grocery Team Member,Good people to work with,Customers and trying to finish work within the time limit there given you,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Rutherford, New South Wales, Australia",3.0,2.0,4.0,3.0,2.0,3.0,5.0,Coles Supermarkets
‘Interesting’,Team Member,Opportunities to move up,Have to pretty much be available 24/7,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Lara, Victoria, Australia",4.0,3.0,3.0,3.0,3.0,3.0,3.0,Coles Supermarkets
‘Don't wish it upon anyone’,Deli Team Member,Some good co workers,Poor management. Under-trained staff which is frustrating as they've been there for months.,Recommends working here: No,Rates salary as: Low,2 years ago,"Colac VIC, Australia",3.0,2.0,3.0,1.0,3.0,3.0,2.0,Coles Supermarkets
‘Wouldnt recommend treated badly’,Sales Asstisant,I get paid . friendly team,No lunch breaks get treated badly,Recommends working here: No,Rates salary as: Low,2 years ago,"Central Coast, New South Wales, Australia",2.0,1.0,1.0,1.0,1.0,1.0,1.0,Coles Supermarkets
‘A good job if dealing with people is your style.’,Customer Service Operator,"- Always someone to swap a swift if unavailable to work
- Flexibility
- Room to grow and move upwards
- Good friendships formed with colleagues","- Customers are challenging
- Egos within the workplace can cause tension
- Lazy employees who don't pull their weight",Recommends working here: Yes,Rates salary as: Average,1 year ago,"Corio VIC, Australia",5.0,3.0,4.0,4.0,3.0,4.0,4.0,Coles Supermarkets
‘Good job as a student’,Service Supervisor,Flexibility with work study balance,Lots of changes of managers across different areas,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,5.0,4.0,3.0,4.0,5.0,4.0,Coles Supermarkets
‘Average’,Coles Brand Manager,"Experience, learning, training",No care for individuals,Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",4.0,3.0,2.0,2.0,3.0,4.0,2.0,Coles Supermarkets
‘I don't know what took me so long to leave!’,Office Manager,Not much..best bit is handing in your resignation after almost 12 years!!,Management are  so focused on saving costs that they don't care about morale or attempting to keep good staff.,Recommends working here: No,Rates salary as: High,4 years ago,Perth,3.0,3.0,1.0,1.0,2.0,2.0,1.0,Coles Supermarkets
‘Great job for students’,Front End Cashier,Flexible hours,Repetitive,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Brisbane, Queensland, Australia",2.0,2.0,2.0,2.0,2.0,4.0,3.0,Coles Supermarkets
